2026-05-26 14:43:53,278 - INFO - Starting RL generative experiment with oracle budget: 1500
2026-05-26 14:43:55,296 - INFO - Oracle calls: 0/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:43:57,102 - INFO - Oracle calls: 15/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:43:57,820 - INFO - Oracle calls: 30/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:43:58,529 - INFO - Oracle calls: 42/1500 (Batch Validity: 81.25%, 13 / 16)
2026-05-26 14:43:59,344 - INFO - Oracle calls: 55/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:44:00,266 - INFO - Oracle calls: 69/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:44:01,302 - INFO - Oracle calls: 84/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:44:23,982 - INFO - Oracle calls: 98/1500 (Batch Validity: 81.25%, 13 / 16)
2026-05-26 14:44:42,099 - INFO - Logging intermediate results at 111 oracle calls.
2026-05-26 14:44:42,304 - INFO - Oracle calls: 111/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:44:43,381 - INFO - Oracle calls: 127/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:45:01,617 - INFO - Oracle calls: 141/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:45:08,954 - INFO - Oracle calls: 157/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:45:10,008 - INFO - Oracle calls: 170/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:45:32,628 - INFO - Oracle calls: 185/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:45:33,702 - INFO - Oracle calls: 199/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:45:34,621 - INFO - Logging intermediate results at 214 oracle calls.
2026-05-26 14:45:34,794 - INFO - Oracle calls: 214/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:45:35,856 - INFO - Oracle calls: 229/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:45:43,798 - INFO - Oracle calls: 243/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:45:44,858 - INFO - Oracle calls: 259/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:46:06,420 - INFO - Oracle calls: 274/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:46:27,506 - INFO - Oracle calls: 287/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:46:43,118 - INFO - Logging intermediate results at 302 oracle calls.
2026-05-26 14:46:43,319 - INFO - Oracle calls: 302/1500 (Batch Validity: 81.25%, 13 / 16)
2026-05-26 14:46:55,424 - INFO - Oracle calls: 314/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:47:15,288 - INFO - Oracle calls: 330/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:47:32,474 - INFO - Oracle calls: 340/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:48:24,464 - INFO - Oracle calls: 353/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:49:02,077 - INFO - Oracle calls: 367/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:49:03,099 - INFO - Oracle calls: 381/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:50:05,367 - INFO - Oracle calls: 394/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:50:33,046 - INFO - Logging intermediate results at 404 oracle calls.
2026-05-26 14:50:33,184 - INFO - Oracle calls: 404/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:51:09,529 - INFO - Oracle calls: 415/1500 (Batch Validity: 100.0%, 15 / 15)
2026-05-26 14:52:12,112 - INFO - Oracle calls: 425/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:53:03,378 - INFO - Oracle calls: 436/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:54:05,809 - INFO - Oracle calls: 442/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:55:13,607 - INFO - Oracle calls: 450/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:55:47,990 - INFO - Oracle calls: 456/1500 (Batch Validity: 81.25%, 13 / 16)
2026-05-26 14:56:19,982 - INFO - Oracle calls: 458/1500 (Batch Validity: 87.5%, 14 / 16)
2026-05-26 14:56:49,604 - INFO - Oracle calls: 459/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:57:50,046 - INFO - Oracle calls: 465/1500 (Batch Validity: 75.0%, 12 / 16)
2026-05-26 14:58:31,885 - INFO - Oracle calls: 469/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:59:21,403 - INFO - Oracle calls: 472/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 14:59:47,043 - INFO - Oracle calls: 475/1500 (Batch Validity: 93.75%, 15 / 16)
2026-05-26 14:59:47,847 - INFO - Oracle calls: 476/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:00:15,608 - INFO - Oracle calls: 479/1500 (Batch Validity: 100.0%, 15 / 15)
2026-05-26 15:00:37,562 - INFO - Oracle calls: 480/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:00:38,286 - INFO - Oracle calls: 480/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:01:03,499 - INFO - Oracle calls: 481/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:01:29,321 - INFO - Oracle calls: 484/1500 (Batch Validity: 100.0%, 16 / 16)
2026-05-26 15:02:04,416 - INFO - Oracle calls: 488/1500 (Batch Validity: 100.0%, 16 / 16)
