2026-05-07 17:41:10,242 - INFO - Starting RL generative experiment with oracle budget: 1000
2026-05-07 17:41:13,103 - INFO - Oracle calls: 0/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:15,727 - INFO - Oracle calls: 14/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:16,384 - INFO - Oracle calls: 29/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:17,186 - INFO - Oracle calls: 44/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:17,897 - INFO - Oracle calls: 60/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:18,601 - INFO - Oracle calls: 72/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:19,506 - INFO - Oracle calls: 86/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:20,446 - INFO - Oracle calls: 100/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:21,501 - INFO - Oracle calls: 113/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:22,578 - INFO - Oracle calls: 127/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:23,619 - INFO - Oracle calls: 140/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:24,662 - INFO - Oracle calls: 152/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:25,764 - INFO - Oracle calls: 164/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:26,820 - INFO - Oracle calls: 176/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:27,877 - INFO - Oracle calls: 188/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:28,961 - INFO - Oracle calls: 199/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:30,028 - INFO - Oracle calls: 212/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:31,094 - INFO - Oracle calls: 223/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:32,151 - INFO - Oracle calls: 233/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:33,166 - INFO - Oracle calls: 245/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:34,234 - INFO - Oracle calls: 256/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:35,328 - INFO - Oracle calls: 267/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:36,436 - INFO - Oracle calls: 279/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:37,497 - INFO - Oracle calls: 288/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:38,635 - INFO - Oracle calls: 295/1000 (Batch Validity: 81.25%, 13 / 16)
2026-05-07 17:41:39,716 - INFO - Oracle calls: 303/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:40,782 - INFO - Oracle calls: 317/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:41,820 - INFO - Oracle calls: 327/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:42,912 - INFO - Oracle calls: 338/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:43,987 - INFO - Oracle calls: 350/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:45,067 - INFO - Oracle calls: 359/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:46,119 - INFO - Oracle calls: 371/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:47,209 - INFO - Oracle calls: 377/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:48,286 - INFO - Oracle calls: 385/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:49,366 - INFO - Oracle calls: 395/1000 (Batch Validity: 100.0%, 16 / 16)
2026-05-07 17:41:50,472 - INFO - Oracle calls: 406/1000 (Batch Validity: 87.5%, 14 / 16)
2026-05-07 17:41:51,588 - INFO - Oracle calls: 416/1000 (Batch Validity: 93.75%, 15 / 16)
2026-05-07 17:41:52,653 - INFO - Oracle calls: 423/1000 (Batch Validity: 100.0%, 16 / 16)
